"name","mean","standard_deviation"
"Arsenal","25","8.333333333333334"
"Aston Villa","25","8.333333333333334"
"Barnsley","25","8.333333333333334"
"Birmingham","25","8.333333333333334"
"Blackburn","25","8.333333333333334"
"Blackpool","25","8.333333333333334"
"Bolton","25","8.333333333333334"
"Bournemouth","25","8.333333333333334"
"Bradford","25","8.333333333333334"
"Burnley","25","8.333333333333334"
"Cardiff","25","8.333333333333334"
"Charlton","25","8.333333333333334"
"Chelsea","25","8.333333333333334"
"Coventry","25","8.333333333333334"
"Crystal Palace","25","8.333333333333334"
"Derby","25","8.333333333333334"
"Everton","25","8.333333333333334"
"Fulham","25","8.333333333333334"
"Hull","25","8.333333333333334"
"Ipswich","25","8.333333333333334"
"Leeds","25","8.333333333333334"
"Leicester","25","8.333333333333334"
"Liverpool","25","8.333333333333334"
"Man City","25","8.333333333333334"
"Man United","25","8.333333333333334"
"Middlesboro","25","8.333333333333334"
"Middlesbrough","25","8.333333333333334"
"Newcastle","25","8.333333333333334"
"Norwich","25","8.333333333333334"
"Nott'm Forest","25","8.333333333333334"
"Oldham","25","8.333333333333334"
"Portsmouth","25","8.333333333333334"
"QPR","25","8.333333333333334"
"Reading","25","8.333333333333334"
"Sheffield United","25","8.333333333333334"
"Sheffield Weds","25","8.333333333333334"
"Southampton","25","8.333333333333334"
"Stoke","25","8.333333333333334"
"Sunderland","25","8.333333333333334"
"Swansea","25","8.333333333333334"
"Swindon","25","8.333333333333334"
"Tottenham","25","8.333333333333334"
"Watford","25","8.333333333333334"
"West Brom","25","8.333333333333334"
"West Ham","25","8.333333333333334"
"Wigan","25","8.333333333333334"
"Wimbledon","25","8.333333333333334"
"Wolves","25","8.333333333333334"
